label,p00,p01,p02,p03,p04,p05,p06,p10,p11,p12,p13,p14,p15,p16,p20,p21,p22,p23,p24,p25,p26,p30,p31,p32,p33,p34,p35,p36,p40,p41,p42,p43,p44,p45,p46,p50,p51,p52,p53,p54,p55,p56,p60,p61,p62,p63,p64,p65,p66
4,0,0,0,0,0,0,0,0,0,0,8,0,98,10,0,6,88,94,40,154,0,0,79,165,47,184,34,0,0,53,83,166,64,0,0,0,0,72,79,0,0,0,0,0,56,0,0,0,0
6,0,0,0,1,83,10,0,0,0,6,134,105,2,0,0,0,148,67,0,0,0,0,14,196,61,130,100,0,0,11,234,143,159,63,0,0,0,45,122,32,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,113,199,238,104,0,0,97,90,33,166,46,0,0,0,0,109,83,0,0,0,0,83,105,0,0,0,0,63,68,0,0,0,0
4,0,0,0,0,0,0,0,0,0,18,0,67,0,0,0,0,99,0,108,0,0,0,0,133,78,132,0,0,0,0,69,25,108,0,0,0,0,0,0,104,0,0,0,0,0,0,22,0,0
6,0,0,0,3,39,0,0,0,0,0,133,81,0,0,0,0,51,147,56,1,0,0,0,156,144,160,67,0,0,0,159,164,105,38,0,0,0,140,157,36,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,15,104,150,17,0,0,0,157,58,96,52,0,0,0,44,192,111,0,0,0,0,51,219,23,0,0,0,0,186,163,5,0,0,0,0,51,17,0,0,0
0,0,0,0,0,0,0,0,0,0,14,185,200,4,0,0,0,132,179,197,49,0,0,9,216,21,121,49,0,0,49,171,9,148,22,0,0,35,236,226,91,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,14,54,0,0,0,0,138,134,194,0,0,0,0,0,44,120,0,0,0,0,0,137,27,0,0,0,0,0,153,0,0,0,0,0,3,118,0,0,0
8,0,0,0,0,0,0,0,0,0,9,128,85,98,0,0,0,108,65,138,89,0,0,0,25,213,99,0,0,0,0,116,174,62,0,0,0,22,182,154,7,0,0,0,1,52,8,0,0,0
3,0,0,0,0,0,0,0,0,0,89,153,49,0,0,0,0,52,89,66,0,0,0,0,48,154,115,0,0,0,0,0,0,153,0,0,0,0,71,109,126,0,0,0,0,30,44,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,35,147,0,0,0,0,0,119,52,0,0,0,0,10,152,2,0,0,0,0,109,34,0,0,0,0,0,24,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,52,109,37,0,0,0,88,159,34,0,0,0,0,86,66,0,0,0,0,0,41,171,81,0,0,0,0,0,2,142,0,0,0,0,0,0,63,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,73,141,193,151,0,17,147,108,22,130,42,0,0,0,0,52,119,0,0,0,0,3,168,5,0,0,0,0,15,76,0,0,0
1,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,150,0,0,0,0,0,0,150,0,0,0,0,0,0,145,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,1,41,6,0,0,46,171,151,191,55,0,0,4,5,1,138,2,0,0,0,0,100,44,0,0,0,0,27,125,0,0,0,0,0,85,10,0,0,0
1,0,0,0,0,0,0,0,0,0,8,98,0,0,0,0,0,6,148,0,0,0,0,0,0,152,0,0,0,0,0,0,141,27,0,0,0,0,0,68,80,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,14,203,13,0,0,0,0,119,113,0,0,0,0,7,223,25,0,0,0,0,100,168,0,0,0,0,0,133,93,0,0,0,0,0,0,0,0,0,0
6,0,0,0,12,20,0,0,0,0,9,159,98,0,0,0,0,137,37,0,0,0,0,0,187,162,119,3,0,0,0,173,7,172,62,0,0,0,51,161,103,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,73,183,223,43,0,0,0,11,9,191,37,0,0,0,52,180,202,0,0,0,0,14,11,177,0,0,0,175,154,160,63,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,29,157,104,94,10,0,0,134,9,25,35,148,1,0,143,1,0,0,97,37,0,73,111,1,0,106,41,0,0,73,155,129,96,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,4,81,66,0,0,0,0,15,50,178,0,0,0,0,4,142,65,3,29,46,0,10,156,174,150,109,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,5,103,24,0,0,0,1,157,70,218,0,0,0,36,160,135,164,0,0,0,3,101,16,146,0,0,0,0,0,0,142,10,0,0,0,0,0,38,25,0
3,0,0,0,0,0,0,0,0,48,97,127,127,62,0,0,89,142,83,125,188,0,0,13,166,198,234,56,0,0,3,40,41,143,34,0,25,189,120,107,186,29,0,1,40,86,58,14,0,0
1,0,0,0,0,0,0,0,0,0,0,67,45,0,0,0,0,0,133,35,0,0,0,0,0,163,3,0,0,0,0,0,167,2,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,25,207,0,0,0,0,0,99,137,0,0,0,0,2,217,65,0,0,0,0,126,160,1,0,0,0,29,206,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,91,62,2,0,0,75,219,199,132,194,21,0,147,150,2,0,153,52,0,180,22,0,89,168,0,0,54,186,191,135,8,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,7,96,0,0,0,71,77,91,59,0,0,53,207,129,185,3,0,0,1,25,91,74,0,0,0,0,21,112,0,0,0,0,0,20,6,0,0,0
9,0,0,0,0,0,0,0,0,0,0,29,23,0,0,0,0,145,151,181,0,0,0,21,188,132,225,0,0,0,0,62,57,164,0,0,0,0,0,89,70,0,0,0,0,0,59,7,0,0
2,0,0,0,0,0,0,0,0,22,115,138,138,51,0,0,75,101,98,231,44,0,0,5,102,188,50,0,0,0,145,183,107,129,184,27,0,46,126,114,72,19,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,111,144,19,0,0,0,114,144,8,94,0,0,10,122,29,2,129,0,0,14,112,0,43,88,0,0,0,128,137,122,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,64,226,125,0,0,0,107,221,195,197,0,0,76,181,9,15,176,0,0,188,49,19,181,72,0,0,111,244,197,44,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,75,124,134,59,0,0,0,186,144,131,208,12,0,0,0,0,0,140,47,0,0,0,19,188,251,218,0,0,0,125,253,111,17,0,0,0,19,32,0,0,0
0,0,0,0,0,0,0,0,0,0,102,228,240,86,26,0,76,204,45,21,97,63,0,184,45,0,0,147,48,0,162,125,6,42,201,6,0,45,236,230,169,48,0,0,0,0,0,0,0,0
2,0,0,16,108,6,0,0,0,0,3,35,120,0,0,0,0,0,1,160,0,0,0,0,0,118,103,0,0,0,37,152,196,52,41,0,0,54,76,90,122,22,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,169,166,196,122,0,0,26,7,4,174,36,0,0,0,1,142,60,0,0,0,1,137,60,0,0,0,0,61,95,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,81,9,0,0,0,0,0,104,11,0,0,0,0,0,131,4,0,0,0,0,0,105,0,0,0,0,0,17,98,0,0,0,0,0,12,14,0,0,0
8,0,0,0,0,0,0,0,0,0,11,123,165,83,0,0,0,79,133,82,6,0,0,0,18,232,32,0,0,0,0,128,78,123,0,0,0,1,188,159,20,0,0,0,0,0,0,0,0,0
6,0,0,0,2,44,6,0,0,0,15,157,120,16,0,0,0,128,72,0,0,0,0,0,196,73,53,0,0,0,0,173,123,157,66,0,0,0,14,142,155,30,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,74,51,0,0,2,109,47,118,0,0,9,152,76,152,2,0,0,62,150,186,113,0,0,0,0,99,46,0,0,0,0,0,13,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,107,94,0,0,0,0,0,158,63,0,0,0,0,7,245,43,0,0,0,0,4,237,27,0,0,0,0,0,221,43,0,0,0,0,0,0,0,0,0
6,0,0,0,0,34,8,0,0,0,0,59,187,10,0,0,0,45,190,43,0,0,0,0,158,246,156,9,0,0,5,230,147,116,0,0,0,0,120,179,25,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,136,93,27,0,0,0,0,20,102,181,0,0,0,0,0,196,48,0,0,0,0,0,23,171,5,0,0,5,119,168,104,0,0,0,10,10,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,29,8,83,0,0,0,61,153,107,69,0,0,58,217,108,162,38,0,0,5,52,200,94,45,0,0,0,120,46,0,0,0,0,0,64,0,0,0,0
5,0,0,0,0,0,0,0,0,0,6,215,30,0,0,0,0,2,175,3,0,0,0,0,0,112,76,0,0,0,0,0,98,100,0,0,0,3,114,176,14,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,0,40,134,179,0,0,0,0,64,139,149,0,0,0,0,0,101,48,0,0,0,0,0,149,0,0,0,0,0,31,67,0,0,0
1,0,0,0,0,0,0,0,0,66,181,7,0,0,0,0,4,191,130,2,0,0,0,0,27,212,92,0,0,0,0,0,69,219,11,0,0,0,0,0,176,104,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,86,206,201,68,0,0,0,37,28,183,50,0,0,0,66,228,98,0,0,0,2,0,78,146,0,0,48,191,171,160,34,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,5,108,143,27,0,0,0,14,23,91,49,0,0,0,0,45,209,96,0,0,0,0,0,0,91,26,0,0,0,23,109,152,7,0,0,0,0,31,14,0,0
